Bike,Description,Price,Year,Location,State,Listed,Source,Link,Category_dual.sport,Category_enduro.bikes,Category_mini.bikes,Category_motocross.bikes,Category_trail.bikes
YZ85,2016 yz 85Great bike I brought it brand new. This bike was very well taken care of with strict a maintenance schedule. Has some aftermarket parts. Pro circuit pipe and silencer Mylers radiator Tm design works slide and glide Pro taper bars Race tech front [...],"$3,000",2016,Henderson Nevada,NV,08/07/17 11:55 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/00d72da02d9a0176eaca474bfc26e794),0,0,1,1,0
YZ85,2016 yz 85Great bike I brought it brand new. This bike was very well taken care of with strict a maintenance schedule. Has some aftermarket parts. Pro circuit pipe and silencer Mylers radiator Tm design works slide and glide Pro taper bars Race tech front [...],"$3,000",2016,Henderson Nevada,NV,08/07/17 11:55 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/00d72da02d9a0176eaca474bfc26e794),0,0,1,1,0
Cobra 65,2017 cobra 65 dirt bike2017 cobra 65 dirtbike call or text for more info 859-991-931six,"$3,400",2017,Walton ky,KY,08/07/17 1:01 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/01e5f94a9af2786d6394ad15cbfe7346),0,0,1,0,0
YZ85,2016 Yamaha YZ85 Brand New price loweredHave a practically brand new yz85 I bought for my lady to ride.... she's ridden it 4 times since I bought it in December one time that wasn't on our dirt road so needless to say the bike is mint. She jumped on a bigger bike and loved it so the little [...],"$3,700",2016,Spanaway,WA,08/10/17 1:34 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0287644467e662b528cbf8a1c6ce9a01),0,0,1,1,0
YZ85,2016 Yamaha YZ85 Brand New price loweredHave a practically brand new yz85 I bought for my lady to ride.... she's ridden it 4 times since I bought it in December one time that wasn't on our dirt road so needless to say the bike is mint. She jumped on a bigger bike and loved it so the little [...],"$3,700",2016,Spanaway,WA,08/10/17 1:34 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0287644467e662b528cbf8a1c6ce9a01),0,0,1,1,0
KX100,2001 kx100 *trade*This is my 2001 kx100 race bike Bought the bike 4 years ago and have put many hours of work and money into it and I really hate to see it go it's literally my baby but my car got totaled last week and I'm looking for a trade for a bmw a Honda or min [...],"$1,850",2001,Bremerton,WA,08/11/17 12:43 am (17 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/02aa9c8da1bea4ca7ef63171c37f6785),0,0,1,0,0
CRF80F,"2004 Honda CRF80 CRF 80Hi, I have a CRF80 for sale that is in great condition. It has new tires, brake pads, chain and sprockets, fresh oil and air filter. If you have any questions call or text me at show contact info","$1,000",2004,New Braintree,MA,08/08/17 1:20 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/02c5385439e718955e25f3a8b4df80d5),0,0,1,0,0
KX85,2014 Kawasaki KX85Selling my 2014 Kawasaki KX85. I am the original owner. Selling the bike because my son has moved up to a 125. Bike has been meticulously maintained and runs great. Top end done with OEM parts. Air filter and air box cleaned after every ride. All ot [...],"$2,200",2014,Haslet,TX,08/08/17 1:55 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/02d5ab7cb2c24484855020ba23bb5d69),0,0,1,0,0
XR100,Nice xr 100 dirt bike dirtbikeRuns great it's a 2001 xr100 starts right up needs a little work to the rear wheel but runs and drives call or text show contact info NO TRADES key words dirtbike dirt bike pitbike pit bike minibike mini bike pitbike pit bike atv four wheeler fourwheeler cr [...],$750,2001,Sanford,FL,08/07/17 11:11 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0344556063cd3a0ad8305e551f302534),0,0,1,0,0
KLX 110,"Klx110 2009Looking to trade my 05 Cr125r and 2009 klx110 has two brothers upgraded intake, protaper bars, bbr stiff suspension springs front and rear, manual clutch and brand new Dunlop geomax tires.starts 1/2 kicks cold. Only bad has started smoking. I have a [...]",$800,2009,Fayetteville,NC,08/08/17 12:40 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/03a3520d204475e34c478906ffff6b54),0,0,1,0,1
KLX 110,"Klx110 2009Looking to trade my 05 Cr125r and 2009 klx110 has two brothers upgraded intake, protaper bars, bbr stiff suspension springs front and rear, manual clutch and brand new Dunlop geomax tires.starts 1/2 kicks cold. Only bad has started smoking. I have a [...]",$800,2009,Fayetteville,NC,08/08/17 12:40 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/03a3520d204475e34c478906ffff6b54),0,0,1,0,1
Cobra 50,2013 Cobra 50This 2013 Cobra 50 is in good condition; has Pro taper handlebars. Asking $1800 or B/O. Please call Steve at show contact info Thanks!,"$1,800",2013,Auburn,CA,08/07/17 10:09 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/03e17c9e4ba50a74f695adceabeec50f),0,0,1,0,0
CRF110F,"2016 crf 110I've got a 2016 crf110 for sale. Nice shape, well maintained. Has aftermarket graphics, grips, and bar pad. I purchased it new last year and have the title in my name. $1800 Call or text if interested show contact info","$1,800",2016,Greenville,SC,08/08/17 12:54 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/04af5f91607f1d28db568d3aea25f608),0,0,1,0,0
KTM 65,Ktm 652004 ktm 65 sx pro senior liquid cooled (Lc) �New rear brake pads �New grips �New shorty fuel line �New front brake line �New front fork guards solid black �New rear shock gaurd �Super clean bike �Up2date on registration and t [...],"$1,700",2004,San Diego,CA,08/08/17 9:31 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/056a262db48ab5e675ace358d046bc7c),0,0,1,0,0
TTR 90,Beginners bike Yamaha ttr 902006 Yamaha ttr 90. My son just didn't show any interest in riding. It has a new battery and a new tube in the rear also has a new carb rebuild. It has a semi automatic three speed with no clutch. Easy to ride. Runs great. Also have a 2009 husaberg f [...],$800,2006,Lovelady,TX,08/11/17 12:38 am (17 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/056ef4965f0015f086818165ef93b78f),0,0,1,0,0
CRF100F,"2013 crf100f like new Honda2013 Honda crf100f like new runs and drives like new great beginner bike all original Pa title in hand $2,100 or best offer call it text show contact info","$2,100",2013,York,MD,08/07/17 2:35 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/057d8de62d98b8e540bf921ddd083160),0,0,1,0,0
125cc pit bike,Ssr 125 pit bike MUST SEE!!Hi I've got a nice ssr 125 pig bike with a nice exaughst new tires front and back everything works brakes are good suspension is good this bike is a little taller then most little pit bikes with taller suspension bike starts right up and rides nice i [...],$800,NA,Camas,WA,08/07/17 11:04 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/070502a6d643566505997e974c4e0852),0,0,1,0,0
KX85,"2014 KX 85CASH/WITh PARTIAL TRADE FOR GUNS ( SKS,AR15, AK47)Clean KX 85 well maintained, oil change after every day at the track.only ridden maybe 6 times, my son has moved up to a 125. I have extra air filters, brand new plastics in the box .extra levers, spr [...]","$2,500",2014,Hockley,TX,08/08/17 8:39 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0798c72648b50c6cb2a58d7424f7f41f),0,0,1,0,0
Cobra 65,2015 cobra 65 dirt bike2015 cobra 65 call or text for more info 859-991-931six,"$2,300",2015,Walton ky,KY,08/07/17 1:01 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/079d43dbdc63edd7d1ae30d88b6342ff),0,0,1,0,0
CRF150F,2007 Honda crf 150fHi I am selling a 2007 Honda crf 150f. It is in excellent condition and has never been raced. I had the oil changed every other ride and runs like a champ! The bike is stock but I added a adapter to the battery so I could connect it to my battery t [...],"$2,000",2007,Ramona,CA,08/10/17 12:48 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/07f1c07f58ec726c2cda1816addacfc8),0,0,1,0,1
CRF150F,2007 Honda crf 150fHi I am selling a 2007 Honda crf 150f. It is in excellent condition and has never been raced. I had the oil changed every other ride and runs like a champ! The bike is stock but I added a adapter to the battery so I could connect it to my battery t [...],"$2,000",2007,Ramona,CA,08/10/17 12:48 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/07f1c07f58ec726c2cda1816addacfc8),0,0,1,0,1
CRF150F,"2007 Honda crf150f2007 Honda crf150f for sale. Extremely clean, extremely well taken care of. Ridden very lightly, and rarely. Clean title, pink slip in hand. Brand new battery, asking 1900 obo. Must see Text is preferred show contact info","$1,900",2007,fremont / union city / newark,CA,08/07/17 9:00 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0851a1c095909b39e0058f192dad2e67),0,0,1,0,1
CRF150F,"2007 Honda crf150f2007 Honda crf150f for sale. Extremely clean, extremely well taken care of. Ridden very lightly, and rarely. Clean title, pink slip in hand. Brand new battery, asking 1900 obo. Must see Text is preferred show contact info","$1,900",2007,fremont / union city / newark,CA,08/07/17 9:00 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0851a1c095909b39e0058f192dad2e67),0,0,1,0,1
CRF80F,"2006 CRF80FHonda 2006 CRF80F Great trail bike, runs and starts perfect. Has a few scratches but in really good shape for a 2006. My son has outgrown it. $1,100. Thanks","$1,100",2006,Happy Valley,OR,08/07/17 9:25 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0a08a2ae14613e09c0a23518b70e9580),0,0,1,0,0
PW50,"Yamaha PW50 and PW80 dirt bikes $1,100 for bothPRICES ARE FIRM. As in if you make me offers for less than $1100 for the pair or $500/600 for them individually, I will ignore you. Both bikes run well and are ready to ride. I don't store them outside, that's just where they were for a couple hours [...]",$500,NA,Richardson,TX,08/10/17 10:05 pm (19 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0abc8510d4f6bb5026aba62801932b1b),0,0,1,0,0
XR70,"2003 Honda XR70R2003 Honda XR70R Runs Great, Needs Nothing! My daughter has outgrown it. New Spark Plug & Air Filter 3 Speed Semi Automatic Original Title $1,000 obo Text or Call show contact info Willing to trade for nice KX60 or KX65, or KTM65","$1,000",2003,Cleburne,TX,08/09/17 2:11 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0b36dfaff7150313f62237ac40482204),0,0,1,0,0
XR100,2000 Honda XR100r - Registered till Jun 2018Hello I am selling my 2000 XR100 well maintained and in great condition please call or text if interested,$850,2000,Rancho Cordova,CA,08/07/17 8:46 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0b377fa28a4bcd956c58c5b2af851447),0,0,1,0,0
KTM 50,"KTM 50 sxI have a nice 2013 KTM 50sx for sale. Pretty much only ridden on practice days at MX207 and Crow Hill on the kids tracks. He did one race, but just rode way too slow, and didn't like the competition part of the sport. He grew too big over the winter [...]","$2,000",2013,Beverly MA,MA,08/10/17 7:44 pm (22 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0c1c05f532acc997fb16f162c1f1283a),0,0,1,0,0
Cobra 50,2015 Cobra CX50I have been a 50 dad for 8 years and the Cobra is hands down more durable than KTM. We bought this bike new with blue anodized kit and it has been virtually trouble free. My boy is moving up to 65 and so we are moving on from this bike. The bike has [...],"$2,000",2015,Reno,CA,08/11/17 4:43 am (13 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0cca1f14587f989357624d7ae92d3871),0,0,1,0,0
KX85,"Clean 2010 kx85Clean 2010 kx85. 4 hours on piston. Parts: arc levers, procircuit platinum pipe and r304 silencer, renthal bars with protaper risers, governor spring and power valve from pro circuit, v-force reeds, progrip 801 grips and acerbis hand guards. Bike run [...]","$2,000",2010,Braintree,MA,08/08/17 1:55 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0d0859b195ad2d3dac839b6ec17bf75b),0,0,1,0,0
Cobra 65,"Cobra 65 2016For sale is a 2016 cobra 65. This is a great bike and is in good shape and ready to ride. Bike has 1 hour on a new top end, new tires, micro bars, and has been well taken care of and has low hours on it. Call with questions. 507-3to3-5six3for","$2,800",2016,Faribault,MN,08/11/17 2:31 am (15 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0dfc07fd3f6e48d51c3e0b6f4492d4e6),0,0,1,0,0
RM85,"2001 RM 85Well maintained, runs great, after market pro-circuit pipe.","$1,000",2001,Williamson,GA,08/08/17 2:08 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0ef9563c14aa7bd3ff603942f7b90ef2),0,0,1,0,0
JR50,2005 suzuki jr50Like new 2005 Suzuki jr50. Has about 2-3 hours of ride time. Runs great. Comes with helmet and gloves.,$650,2005,santa rosa,CA,08/11/17 1:46 pm (4 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0efce6265eaf26ffbbd5c206354869e7),0,0,1,0,0
CR80,HONDA CR80RRUNS GOOD CASH AND PICK UP ONLY CALL show contact info NO SCAMMERS OR LOW BALLERS NEED BOTHER,$850,NA,New Haven,MI,08/07/17 11:58 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0f07357ec33e2ffe9fb32f34ec9690a9),0,0,1,1,0
CR80,HONDA CR80RRUNS GOOD CASH AND PICK UP ONLY CALL show contact info NO SCAMMERS OR LOW BALLERS NEED BOTHER,$850,NA,New Haven,MI,08/07/17 11:58 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0f07357ec33e2ffe9fb32f34ec9690a9),0,0,1,1,0
