Bike,Description,Price,Year,Location,State,Listed,Source,Link
CR250,Cr250Cr250 runs good Has fmf fatty Vforce3 reeds Excel wheels Subline clutch lever New plastics Title In hand Needs kill switch 1500 need it gone,"$1,500",NA,Valley center,CA,08/07/17 6:01 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/00032242a2664e7f5adae663c4f1d49c)
CR250,"2005 CR250 Honda * FMF Gnarly * New top end * Title * CR 250R * CR250RStarts on the first kick, cold or hot! Adult owned and maintained. Trail ridden CR250. Garage kept and only used a few times per year, since my main ride is a dual sport. It has been out on a track for a couple practice days, but it has NEVER been in [...]","$3,200",2005,Lake Oswego,OR,08/11/17 4:06 pm (3 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/011dc519eba3b9bd8b6c7272c4b62f0f)
300XC-W,"2017 KTM 300 XC-W Dual SportJust moved to the Bay Area from New England and happened to blow out my knee right before the move. As a result, I'm unfortunately having to part ways with my beautiful '17 300 XC-W dual sport. The bike has only been ridden about 10 times and is in p [...]","$7,500",2017,walnut creek,CA,08/07/17 2:44 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/0125f5dd1b2cc7f0db1838ed80c100ff)
KTM 525,"2007 KTM 525 XC-W GREEN STICKER ELECTRIC STARTClean title pink slip in hand, currently registered until 2018, runs great, no issues, no leaks, recently had valves adjusted, oil changed, and tune up done, needs nothing. show contact info","$4,200",2007,La,LA,08/07/17 7:12 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/014708f17b425f09ede24a3c2432c5a0)
CR250,"2000 Honda Cr250rThis bike is extremely fast!! Low hours vet owned and maintained. Original seat and plastics. Very Reliable Starts on first kick, Green sticker good until 2019 Pink slip in hand Big Bore kit Desert Tank kickstand installed Carbon Fiber header sle [...]","$2,400",2000,san jose east,CA,08/07/17 7:19 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/019fbc71e0e4643dd77a67631315cc2b)
CR250,"2001 CR250Very clean, nice bike, just rebuilt. 0 problems. Aftermarket pipe, brake rotor, chain, sprocket, updated 2014 forks and fender. Very powerul","$2,800",2001,Rutherfordton,NC,08/07/17 3:55 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/01a1f629b31534472a56b4ace12e7945)
KDX 220,"2001 KDX 2202002 Kawasaki KDX 220 NEW; rear tire, chain and sprockets, fork boots, grips, fork seals, Race Tech Gold Valve forks, FRP valved rear shock, FRP chain guide, all fluids, Trail Tech Vapor computer.... 145PSI compression. Rear left hand brake. Renthal [...]","$2,450",2001,Rockford,IL,08/08/17 5:21 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/02320e7c9af3e3de93638a5f4b27e689)
CR250,"CR250R 19881988 CR250R, all new piston and rings, new clutches, new brake pads, new seat cover (made by Ceet), pro-circuit pipe, answer muffler, new rear sprocket, re-built forks and shock and Green Sticker. (Post vintage or cow trailer). Call Steve 925-361-700 [...]","$2,500",1988,Dublin,CA,08/11/17 5:54 pm (1 hour ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/024c81756c9154dfd9f15a898b61d9ae)
KX250,2001 KX2502001 KX250 To many bikes so this one needs to go. Clean title 2500,"$2,500",2001,Rochester,MN,08/07/17 3:02 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/03f36a8a20c1645ebfda15d8b5dceaa5)
RM125,"2004 Suzuki RM 125 Super Nice Bike $2350Up for sale my best bike ever very rare 2004 Suzuki RM 125. Like new condition. Many extras very healthy and fast. I have owned this bike for over three years. New Tires and tubes along with unbreakable clutch and brake levers, engine was rebuilt l [...]","$2,350",2004,Milton,GA,08/07/17 9:43 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/049615c591f4bb021a3fc8264304ee05)
